maxFacesNumber,maxRefLevel,init_cpu_s,init_wall_hms,cycle1_cpu_s,cycle1_wall_hms,cycle2_cpu_s,cycle2_wall_hms,note
7,16,4.599324999999999,0:00:04,569.0505949999999,0:09:29,605.8071060000001,0:10:05,
7,18,5.392501,0:00:05,552.805361,0:09:12,592.1991779999998,0:09:52,
7,20,6.1361609999999995,0:00:06,559.596539,0:09:19,593.555155,0:09:53,
7,22,6.9664459999999995,0:00:06,586.816386,0:09:46,572.8405210000001,0:09:32,
7,24,7.631091,0:00:07,529.174026,0:08:49,575.491546,0:09:35,
9,2,0.129018,0:00:00,3713.803864,1:01:53,3788.155243,1:03:08,
9,4,0.178884,0:00:00,647.546615,0:10:47,689.8338419999999,0:11:29,
9,6,0.6877679999999999,0:00:00,514.627294,0:08:34,549.8792460000001,0:09:09,
9,8,1.500802,0:00:01,528.694425,0:08:48,558.8889339999998,0:09:18,
9,10,2.270964,0:00:02,521.946519,0:08:41,563.7033969999999,0:09:23,
9,12,3.044216,0:00:03,535.991711,0:08:55,564.3993039999999,0:09:24,
9,14,3.874661,0:00:03,528.526985,0:08:48,558.5562209999999,0:09:18,
9,16,4.559664,0:00:04,528.17736,0:08:48,557.879182,0:09:17,
9,18,5.358332,0:00:05,538.747612,0:08:58,561.7511400000001,0:09:21,
9,20,6.023899999999999,0:00:06,517.1549829999999,0:08:37,554.0285919999999,0:09:14,
9,22,6.775151,0:00:06,531.3478120000001,0:08:51,560.6414480000001,0:09:20,
9,24,7.572635,0:00:07,521.108761,0:08:41,552.700174,0:09:12,
11,2,0.129276,0:00:00,3780.588042,1:03:00,3849.268424,1:04:09,
11,4,0.17902099999999999,0:00:00,650.559356,0:10:50,690.690086,0:11:30,
11,6,0.685649,0:00:00,559.7801169999999,0:09:19,588.903329,0:09:48,
11,8,1.50093,0:00:01,570.570654,0:09:30,599.199064,0:09:59,
11,10,2.279741,0:00:02,559.153529,0:09:19,589.0649399999999,0:09:49,
11,12,3.0666770000000003,0:00:03,572.853418,0:09:32,607.2012030000001,0:10:07,
11,14,3.820598,0:00:03,580.617322,0:09:40,591.1365770000001,0:09:51,
11,16,4.552643,0:00:04,572.200978,0:09:32,606.507082,0:10:06,
11,18,5.354021,0:00:05,565.38239,0:09:25,595.179214,0:09:55,
11,20,6.096413,0:00:06,566.228406,0:09:26,598.7014320000001,0:09:58,
11,22,6.8332109999999995,0:00:06,570.2135199999999,0:09:30,593.735371,0:09:53,
11,24,7.5971,0:00:07,545.868713,0:09:05,581.021945,0:09:41,
13,2,0.130239,0:00:00,3773.6658190000003,1:02:53,3830.119985,1:03:50,
13,4,0.17922999999999997,0:00:00,647.4674229999999,0:10:47,686.802195,0:11:26,
13,6,0.6843779999999999,0:00:00,539.3743880000001,0:08:59,571.8821539999999,0:09:31,
13,8,1.50413,0:00:01,541.3942659999999,0:09:01,565.829127,0:09:25,
13,10,2.281185,0:00:02,540.84785,0:09:00,573.2325609999999,0:09:33,
13,12,3.0616549999999996,0:00:03,533.70664,0:08:53,566.959323,0:09:26,
13,14,3.832845,0:00:03,539.105652,0:08:59,573.9904150000001,0:09:33,
13,16,4.548718999999999,0:00:04,544.646679,0:09:04,578.394837,0:09:38,
13,18,5.315121,0:00:05,564.90417,0:09:24,593.520433,0:09:53,
