geometry,Dmax,Nfaces,host_mean,host_std,init_mean,init_std,storage_MB,n_runs
Hex243,6,11,0.63724726,0.0021791826103811844,0.01603102,0.00019174733481371585,0.8682,50
Hex243,6,12,0.6532725,0.0023167501979263583,0.010432799999999999,0.00012537112254162405,0.577064,50
Hex243,6,13,0.6586877,0.0024627000965010163,0.00841322,6.217102481486541e-05,0.439944,50
Hex243,6,14,0.65840998,0.002369354208838097,0.00840992,0.00012806596514519948,0.439944,50
Hex243,6,15,0.65815786,0.0022217822686725545,0.00836174,0.00011926694634221139,0.439944,50
Hex243,6,16,0.66347526,0.00222053274367083,0.0075293,0.00011526194656750596,0.370344,50
Hex243,7,1,0.49670382,0.010987305767482919,0.301875,0.0014163322854673394,21.6807,50
Hex243,7,2,0.5310140400000001,0.0028684778012608918,0.22049624,0.0015767916348052567,15.8054,50
Hex243,7,3,0.5238429,0.00267601703916054,0.17527398000000002,0.00098318349004753,11.923,50
Hex243,7,4,0.56603146,0.0024910598122412217,0.055079399999999994,0.00039165811830300777,3.73729,50
Hex243,7,5,0.57144358,0.0036466538650983455,0.04896184,0.0003627790332127477,3.27537,50
Hex243,7,6,0.5863191400000001,0.0024841657656904785,0.04320508,0.00024641866149846265,2.6979,50
Hex243,7,7,0.62552172,0.00257319463194636,0.03166208,0.00028793854503050766,1.98398,50
Hex243,7,8,0.63185468,0.009169926408891717,0.0237021,0.0002031769360605157,1.36137,50
Hex243,7,9,0.63452602,0.0025895042507974274,0.021972480000000003,0.00018354315957989667,1.25938,50
Hex243,7,10,0.63547762,0.00236654935132249,0.02156492,0.00018820449581478634,1.20825,50
Hex243,7,11,0.6381827,0.0025256681496271007,0.0213084,0.0002042341593287828,1.17446,50
Hex243,7,12,0.6503669,0.002308109653692687,0.010423400000000001,0.00015235525080869251,0.577064,50
Hex243,7,13,0.66027336,0.00947944076487078,0.008385700000000001,0.00014316114083401946,0.439944,50
Hex243,7,14,0.65861186,0.002748469770989088,0.00837148,0.00010772115173266697,0.439944,50
Hex243,7,15,0.6613123799999999,0.003347582069165135,0.00835364,0.00012105653258553476,0.439944,50
Hex243,7,16,0.6680586599999999,0.002305063694812549,0.0074982799999999995,9.703271907675557e-05,0.370344,50
Hex243,8,1,0.52613672,0.046850550260545694,0.68747104,0.004093031429647426,51.1,50
Hex243,8,2,0.56612666,0.004224555523583128,0.52510744,0.002371786101791861,38.7309,50
Hex243,8,3,0.5461398,0.002828563535342524,0.39743516,0.0018574573179923313,26.9815,50
Hex243,8,4,0.56952984,0.010346123622627648,0.06978551999999999,0.00042463618233370016,4.84545,50
Hex243,8,5,0.5675288599999999,0.0026395062154942264,0.062185540000000004,0.00040854551416317987,4.16073,50
Hex243,8,6,0.58701812,0.0027156306791068113,0.055586979999999994,0.0006926766919651882,3.51718,50
Hex243,8,7,0.62815554,0.003247617137193962,0.0408446,0.0003652445644177811,2.66238,50
Hex243,8,8,0.63168406,0.0030806731003838322,0.02923036,0.00022527966836710284,1.68601,50
Hex243,8,9,0.6362589,0.0024944648131576532,0.02708206,0.00022080117660881412,1.56713,50
Hex243,8,10,0.6367898000000001,0.00250344601683034,0.026640999999999998,0.0002936473659173605,1.51599,50
Hex243,8,11,0.63931836,0.0020233598322128067,0.0263732,0.0002409754835527246,1.4822,50
Hex243,8,12,0.6550038,0.0023643255844717674,0.0103721,0.0001173121163949454,0.577064,50
Hex243,8,13,0.65579482,0.002355428014226735,0.00828248,0.00018116541544980943,0.439944,50
Hex243,8,14,0.6554240400000001,0.0022644028177018984,0.00837392,0.00016458244506778287,0.439944,50
Hex243,8,15,0.6557832600000001,0.0022501181629743213,0.00837062,0.00010810706899803991,0.439944,50
Hex243,8,16,0.6598716,0.002511089380637623,0.00750472,9.711155798295869e-05,0.370344,50
Hex576,4,1,1.1379898,0.0037923809171031587,0.01105212,0.00019780991081421207,0.213912,50
