geometry,Dmax,Nfaces,run,host_s,init_s,storage_MB
Hex1125,4,4,38,1.29622,0.016147,0.225432
Hex1125,4,4,39,1.29542,0.015887,0.225432
Hex1125,4,4,40,1.29288,0.015504,0.225432
Hex1125,4,4,41,1.29293,0.015665,0.225432
Hex1125,4,4,42,1.28936,0.015648,0.225432
Hex1125,4,4,43,1.28853,0.015859,0.225432
Hex1125,4,4,44,1.29025,0.015409,0.225432
Hex1125,4,4,45,1.29768,0.015661,0.225432
Hex1125,4,4,46,1.29838,0.015639,0.225432
Hex1125,4,4,47,1.29486,0.015851,0.225432
Hex1125,4,4,48,1.29661,0.015597,0.225432
Hex1125,4,4,49,1.29215,0.015773,0.225432
Hex1125,4,4,50,1.29153,0.015808,0.225432
Hex1125,4,4,51,1.29244,0.015464,0.225432
Hex1125,4,4,52,1.28816,0.015701,0.225432
Hex1125,4,4,53,1.28891,0.01619,0.225432
Hex1125,4,4,54,1.29733,0.015437,0.225432
Hex1125,4,4,55,1.29461,0.014867,0.225432
Hex1125,4,4,56,1.29724,0.015744,0.225432
Hex1125,4,4,57,1.29293,0.015747,0.225432
Hex1125,4,4,58,1.29297,0.015706,0.225432
Hex1125,4,4,59,1.29188,0.015559,0.225432
Hex1125,4,4,60,1.28927,0.01562,0.225432
Hex1125,4,4,61,1.29032,0.015744,0.225432
Hex1125,4,4,62,1.29181,0.01559,0.225432
Hex1125,4,4,63,1.29528,0.015446,0.225432
Hex1125,4,4,64,1.29597,0.015402,0.225432
Hex1125,4,4,65,1.29379,0.015755,0.225432
Hex1125,4,4,66,1.29422,0.015452,0.225432
Hex1125,4,4,67,1.2915,0.015529,0.225432
Hex1125,4,4,68,1.29652,0.015954,0.225432
Hex1125,4,4,69,1.28992,0.015674,0.225432
Hex1125,4,4,70,1.2918,0.015505,0.225432
Hex1125,4,4,71,1.29108,0.015523,0.225432
Hex1125,4,4,72,1.29927,0.015976,0.225432
Hex1125,4,4,73,1.29452,0.015634,0.225432
Hex1125,4,4,74,1.29753,0.014994,0.225432
Hex1125,4,4,75,1.29325,0.015832,0.225432
Hex1125,4,4,76,1.29121,0.015626,0.225432
Hex1125,4,4,77,1.29389,0.015567,0.225432
Hex1125,4,4,78,1.28725,0.015454,0.225432
Hex1125,4,4,79,1.29094,0.015615,0.225432
Hex1125,4,4,80,1.29366,0.015396,0.225432
Hex1125,4,4,81,1.29826,0.015706,0.225432
Hex1125,4,4,82,1.29556,0.015613,0.225432
Hex1125,4,4,83,1.2939,0.015806,0.225432
Hex1125,4,4,84,1.29194,0.015686,0.225432
Hex1125,4,4,85,1.292,0.015588,0.225432
Hex1125,4,4,86,1.28942,0.015587,0.225432
Hex1125,4,4,87,1.28969,0.015492,0.225432
Hex1125,4,4,88,1.29127,0.01542,0.225432
Hex1125,4,4,89,1.29321,0.015323,0.225432
Hex1125,4,4,90,1.29534,0.015663,0.225432
Hex1125,4,4,91,1.29675,0.015393,0.225432
Hex1125,4,4,92,1.29372,0.015652,0.225432
Hex1125,4,4,93,1.29688,0.015731,0.225432
Hex1125,4,4,94,1.29499,0.015582,0.225432
Hex1125,4,4,95,1.29186,0.015557,0.225432
Hex1125,4,4,96,1.2903,0.015589,0.225432
Hex1125,4,4,97,1.28954,0.015692,0.225432
Hex1125,4,4,98,1.29523,0.015634,0.225432
Hex1125,4,4,99,1.29402,0.015741,0.225432
Hex1125,4,4,100,1.29498,0.015392,0.225432
Hex1125,4,5,1,1.29565,0.015537,0.225432
Hex1125,4,5,2,1.29275,0.015562,0.225432
Hex1125,4,5,3,1.29562,0.015526,0.225432
Hex1125,4,5,4,1.29159,0.015457,0.225432
Hex1125,4,5,5,1.28927,0.015518,0.225432
Hex1125,4,5,6,1.28936,0.015457,0.225432
Hex1125,4,5,7,1.29412,0.015803,0.225432
Hex1125,4,5,8,1.29615,0.016367,0.225432
Hex1125,4,5,9,1.29368,0.015499,0.225432
Hex1125,4,5,10,1.29567,0.015527,0.225432
Hex1125,4,5,11,1.29559,0.015608,0.225432
Hex1125,4,5,12,1.29284,0.014968,0.225432
Hex1125,4,5,13,1.29044,0.015704,0.225432
Hex1125,4,5,14,1.29117,0.015308,0.225432
Hex1125,4,5,15,1.2907,0.015571,0.225432
Hex1125,4,5,16,1.29774,0.015754,0.225432
Hex1125,4,5,17,1.29437,0.015628,0.225432
Hex1125,4,5,18,1.29304,0.015519,0.225432
Hex1125,4,5,19,1.29421,0.015637,0.225432
Hex1125,4,5,20,1.29254,0.015485,0.225432
Hex1125,4,5,21,1.28842,0.015641,0.225432
Hex1125,4,5,22,1.28987,0.015582,0.225432
Hex1125,4,5,23,1.28885,0.015292,0.225432
Hex1125,4,5,24,1.29117,0.015603,0.225432
Hex1125,4,5,25,1.29555,0.015152,0.225432
Hex1125,4,5,26,1.29471,0.01571,0.225432
Hex1125,4,5,27,1.29822,0.015569,0.225432
Hex1125,4,5,28,1.29451,0.015094,0.225432
Hex1125,4,5,29,1.2923,0.015549,0.225432
Hex1125,4,5,30,1.29091,0.01563,0.225432
Hex1125,4,5,31,1.29175,0.015527,0.225432
Hex1125,4,5,32,1.28761,0.015309,0.225432
Hex1125,4,5,33,1.29076,0.01541,0.225432
Hex1125,4,5,34,1.29556,0.015126,0.225432
Hex1125,4,5,35,1.29375,0.015666,0.225432
Hex1125,4,5,36,1.29894,0.01567,0.225432
Hex1125,4,5,37,1.29587,0.015683,0.225432
Hex1125,4,5,38,1.28972,0.015477,0.225432
Hex1125,4,5,39,1.29144,0.015522,0.225432
Hex1125,4,5,40,1.29133,0.015518,0.225432
Hex1125,4,5,41,1.28924,0.01553,0.225432
Hex1125,4,5,42,1.29587,0.015576,0.225432
Hex1125,4,5,43,1.29635,0.015701,0.225432
Hex1125,4,5,44,1.29713,0.015533,0.225432
Hex1125,4,5,45,1.29421,0.015592,0.225432
Hex1125,4,5,46,1.29544,0.015648,0.225432
Hex1125,4,5,47,1.29157,0.015492,0.225432
Hex1125,4,5,48,1.28789,0.015047,0.225432
Hex1125,4,5,49,1.28842,0.01546,0.225432
Hex1125,4,5,50,1.28745,0.015715,0.225432
Hex1125,4,5,51,1.29677,0.015582,0.225432
Hex1125,4,5,52,1.29624,0.015011,0.225432
Hex1125,4,5,53,1.29569,0.015671,0.225432
Hex1125,4,5,54,1.29417,0.015561,0.225432
Hex1125,4,5,55,1.29643,0.015179,0.225432
Hex1125,4,5,56,1.29048,0.015917,0.225432
Hex1125,4,5,57,1.28858,0.015261,0.225432
Hex1125,4,5,58,1.2893,0.015712,0.225432
Hex1125,4,5,59,1.2898,0.015444,0.225432
Hex1125,4,5,60,1.29619,0.014968,0.225432
Hex1125,4,5,61,1.29442,0.015932,0.225432
Hex1125,4,5,62,1.29349,0.015667,0.225432
Hex1125,4,5,63,1.29498,0.015701,0.225432
Hex1125,4,5,64,1.28997,0.015649,0.225432
Hex1125,4,5,65,1.2941,0.015767,0.225432
Hex1125,4,5,66,1.2892,0.015611,0.225432
Hex1125,4,5,67,1.28899,0.015682,0.225432
Hex1125,4,5,68,1.2893,0.015451,0.225432
Hex1125,4,5,69,1.29592,0.015186,0.225432
Hex1125,4,5,70,1.29735,0.015675,0.225432
Hex1125,4,5,71,1.29513,0.015455,0.225432
Hex1125,4,5,72,1.29224,0.015737,0.225432
Hex1125,4,5,73,1.29308,0.01565,0.225432
Hex1125,4,5,74,1.29349,0.015607,0.225432
Hex1125,4,5,75,1.29309,0.015837,0.225432
Hex1125,4,5,76,1.28975,0.015778,0.225432
Hex1125,4,5,77,1.28939,0.015643,0.225432
Hex1125,4,5,78,1.29453,0.015409,0.225432
Hex1125,4,5,79,1.29681,0.015693,0.225432
Hex1125,4,5,80,1.29616,0.015645,0.225432
Hex1125,4,5,81,1.29615,0.015664,0.225432
Hex1125,4,5,82,1.2939,0.01591,0.225432
Hex1125,4,5,83,1.29242,0.015719,0.225432
Hex1125,4,5,84,1.29085,0.015581,0.225432
Hex1125,4,5,85,1.28696,0.015705,0.225432
Hex1125,4,5,86,1.29084,0.015628,0.225432
Hex1125,4,5,87,1.29566,0.015564,0.225432
Hex1125,4,5,88,1.29459,0.015569,0.225432
Hex1125,4,5,89,1.29709,0.015441,0.225432
Hex1125,4,5,90,1.29231,0.015697,0.225432
Hex1125,4,5,91,1.29266,0.015765,0.225432
Hex1125,4,5,92,1.28989,0.015554,0.225432
Hex1125,4,5,93,1.28942,0.015637,0.225432
Hex1125,4,5,94,1.28976,0.015597,0.225432
Hex1125,4,5,95,1.29222,0.015246,0.225432
Hex1125,4,5,96,1.29844,0.01559,0.225432
Hex1125,4,5,97,1.29445,0.015674,0.225432
Hex1125,4,5,98,1.29659,0.015555,0.225432
Hex1125,4,5,99,1.29615,0.015296,0.225432
Hex1125,4,5,100,1.29421,0.015821,0.225432
Hex1125,4,6,1,1.29108,0.015614,0.225432
Hex1125,4,6,2,1.29066,0.015757,0.225432
Hex1125,4,6,3,1.28999,0.015481,0.225432
Hex1125,4,6,4,1.29259,0.015529,0.225432
Hex1125,4,6,5,1.29605,0.015667,0.225432
Hex1125,4,6,6,1.30633,0.015763,0.225432
Hex1125,4,6,7,1.29708,0.015574,0.225432
Hex1125,4,6,8,1.29669,0.015072,0.225432
Hex1125,4,6,9,1.29171,0.015874,0.225432
Hex1125,4,6,10,1.29096,0.015719,0.225432
Hex1125,4,6,11,1.28989,0.015562,0.225432
Hex1125,4,6,12,1.29008,0.015592,0.225432
Hex1125,4,6,13,1.29468,0.015644,0.225432
Hex1125,4,6,14,1.29706,0.015741,0.225432
